SYMBOL
COALINDIA
ASIANPAINT
BAJAJFINSV
RELIANCE
INFY
TCS
M&M
APOLLOHOSP
HDFCLIFE
MARUTI
BRITANNIA
ADANIPORTS
BPCL
KOTAKBANK
BAJFINANCE
HDFC
SBILIFE
DIVISLAB
LT
HINDUNILVR
INDUSINDBK
TITAN
SUNPHARMA
SBIN
NTPC
SHREECEM
HEROMOTOCO
TATAMOTORS
EICHERMOT
WIPRO
GRASIM
DRREDDY
HCLTECH
ITC
ULTRACEMCO
TECHM
HDFCBANK
NESTLEIND
BHARTIARTL
ICICIBANK
TATACONSUM
AXISBANK
BAJAJ-AUTO
POWERGRID
UPL
HINDALCO
ONGC
JSWSTEEL
TATASTEEL
CIPLA
