,date,open,high,low,close,volume
0,2022-01-27 09:15:00+05:30,3731.0,3732.2,3705.1,3714.9,149708
1,2022-01-27 09:16:00+05:30,3714.8,3715.45,3706.15,3707.0,61517
2,2022-01-27 09:17:00+05:30,3708.5,3730.8,3706.4,3730.8,61879
3,2022-01-27 09:18:00+05:30,3730.0,3730.0,3718.3,3718.7,40350
4,2022-01-27 09:19:00+05:30,3718.45,3721.15,3703.4,3704.6,51588
5,2022-01-27 09:20:00+05:30,3704.85,3707.5,3697.6,3700.95,81587
6,2022-01-27 09:21:00+05:30,3704.0,3707.65,3700.35,3703.8,49277
7,2022-01-27 09:22:00+05:30,3705.0,3712.75,3703.85,3712.0,36734
8,2022-01-27 09:23:00+05:30,3711.0,3715.9,3710.9,3715.45,23157
9,2022-01-27 09:24:00+05:30,3715.9,3715.9,3713.85,3715.35,22701
10,2022-01-27 09:25:00+05:30,3715.35,3715.7,3702.85,3702.95,37124
11,2022-01-27 09:26:00+05:30,3704.3,3704.4,3697.85,3700.0,70070
12,2022-01-27 09:27:00+05:30,3699.9,3699.9,3697.5,3699.15,23662
13,2022-01-27 09:28:00+05:30,3699.15,3699.45,3695.0,3696.5,22820
14,2022-01-27 09:29:00+05:30,3695.0,3696.8,3693.85,3695.9,25186
15,2022-01-27 09:30:00+05:30,3695.85,3696.25,3692.1,3692.8,22247
16,2022-01-27 09:31:00+05:30,3692.75,3692.85,3688.15,3689.75,44717
17,2022-01-27 09:32:00+05:30,3688.9,3691.35,3688.9,3689.9,24624
18,2022-01-27 09:33:00+05:30,3690.1,3691.5,3686.5,3687.5,23516
19,2022-01-27 09:34:00+05:30,3687.7,3690.2,3685.4,3690.2,16403
20,2022-01-27 09:35:00+05:30,3690.2,3698.0,3688.2,3697.0,21662
21,2022-01-27 09:36:00+05:30,3698.2,3698.2,3694.75,3696.25,14215
22,2022-01-27 09:37:00+05:30,3696.6,3699.9,3694.05,3699.0,14686
23,2022-01-27 09:38:00+05:30,3699.85,3702.0,3698.0,3702.0,28494
24,2022-01-27 09:39:00+05:30,3702.0,3702.2,3698.25,3699.75,17618
25,2022-01-27 09:40:00+05:30,3699.6,3700.85,3697.9,3700.0,18654
26,2022-01-27 09:41:00+05:30,3700.0,3700.0,3696.0,3697.25,23781
27,2022-01-27 09:42:00+05:30,3696.7,3697.0,3693.85,3694.55,17009
28,2022-01-27 09:43:00+05:30,3694.55,3697.2,3693.25,3695.95,12315
29,2022-01-27 09:44:00+05:30,3695.2,3699.85,3695.1,3699.5,8376
30,2022-01-27 09:45:00+05:30,3699.8,3700.1,3694.1,3695.1,35366
31,2022-01-27 09:46:00+05:30,3694.1,3695.1,3688.45,3689.95,24298
32,2022-01-27 09:47:00+05:30,3690.0,3690.0,3687.7,3688.8,11859
33,2022-01-27 09:48:00+05:30,3688.8,3692.4,3688.75,3690.65,11498
34,2022-01-27 09:49:00+05:30,3691.8,3695.65,3690.6,3693.85,10369
35,2022-01-27 09:50:00+05:30,3693.9,3694.5,3688.85,3693.6,11600
36,2022-01-27 09:51:00+05:30,3693.4,3696.25,3693.25,3695.15,9277
37,2022-01-27 09:52:00+05:30,3695.15,3699.9,3695.0,3699.9,11119
38,2022-01-27 09:53:00+05:30,3699.9,3705.0,3699.1,3704.95,17729
39,2022-01-27 09:54:00+05:30,3704.65,3705.0,3701.8,3702.75,10170
40,2022-01-27 09:55:00+05:30,3703.0,3703.0,3699.4,3701.4,12957
41,2022-01-27 09:56:00+05:30,3701.4,3703.5,3701.0,3702.5,8068
42,2022-01-27 09:57:00+05:30,3703.5,3705.0,3703.0,3704.55,9984
43,2022-01-27 09:58:00+05:30,3704.95,3707.0,3704.1,3706.85,13186
44,2022-01-27 09:59:00+05:30,3706.8,3707.4,3703.1,3704.0,10283
45,2022-01-27 10:00:00+05:30,3704.0,3704.0,3696.0,3696.8,14305
46,2022-01-27 10:01:00+05:30,3697.05,3697.05,3693.1,3695.65,13087
47,2022-01-27 10:02:00+05:30,3695.35,3696.0,3692.6,3695.65,9299
48,2022-01-27 10:03:00+05:30,3695.65,3699.4,3695.0,3699.4,7908
